,id,type_de_bien,année,nb_de_pieces,surface,ville,prix
1250,2551,maison,1909.0,7,129, ST CIERS SUR GIRONDE,178500
1251,2553,maison,1900.0,4,175, ST LAURENT MEDOC,110000
1252,2557,appartement,1990.0,1,22, TALENCE,108000
1253,2558,maison,2007.0,6,245, SOULAC SUR MER,585200
1254,2559,appartement,1880.0,1,45, BORDEAUX,225000
1255,2560,maison,1950.0,5,110, LACANAU OCEAN                   ,378000
1256,2561,maison,1983.0,13,255, BOURG,603500
1257,2563,maison,2014.0,4,120, ST EMILION,385000
1258,2567,maison,1950.0,3,56, HOURTIN,169000
1259,2569,maison,2013.0,6,150, LIBOURNE,335900
1260,2571,maison,1968.0,4,185, MERIGNAC,799000
1261,2572,maison,2012.0,7,170, BORDEAUX,850000
1262,2573,appartement,1900.0,3,72, BORDEAUX,360500
1263,2574,appartement,1980.0,2,45, ARCACHON,565000
1264,2575,appartement,2006.0,3,64, PAILLET,119500
1265,2577,appartement,2020.0,4,96, LE BOUSCAT,690000
1266,2578,maison,2020.0,4,102, LE BOUSCAT,573000
1267,2579,maison,1900.0,5,116, BORDEAUX,599000
1268,2580,maison,2006.0,5,114, BIGANOS,353000
1269,2583,maison,2010.0,4,124, LANTON,650000
1270,2592,maison,2008.0,5,100, BELIN BELIET,299000
1271,2593,appartement,1850.0,1,20, BORDEAUX,141500
1272,2594,maison,1900.0,3,65, BORDEAUX,440000
1273,2595,maison,1680.0,10,545, BORDEAUX,945000
1274,2596,maison,1759.0,6,162, CANTENAC,315000
1275,2597,maison,1872.0,9,310, EYSINES,1735000
1276,2598,maison,2016.0,5,153, MERIGNAC,940000
1277,2602,maison,1930.0,5,152, TALENCE,525000
1278,2603,maison,1988.0,6,108, BRACH,284000
1279,2604,appartement,2002.0,3,62, ST MEDARD EN JALLES,213000
1280,2605,maison,2011.0,6,150, LEOGNAN,394000
1281,2609,appartement,1970.0,3,71, TALENCE,259700
1282,2610,appartement,2005.0,4,94, BORDEAUX,395000
1283,2611,appartement,1900.0,3,83, BORDEAUX,430500
1284,2612,appartement,1900.0,3,90, BORDEAUX,495000
1285,2613,appartement,1900.0,3,117, BORDEAUX,595000
1286,2614,appartement,1900.0,2,62, BORDEAUX,367500
1287,2615,appartement,1900.0,1,138, BORDEAUX,635000
1288,2616,maison,1998.0,3,46, LA TESTE DE BUCH,202000
1289,2617,appartement,1920.0,1,33, BORDEAUX,178000
1290,2618,appartement,1920.0,1,33, BORDEAUX,181000
1291,2619,appartement,1920.0,2,37, BORDEAUX,232200
1292,2620,appartement,1920.0,1,26, BORDEAUX,186800
1293,2621,appartement,1920.0,3,53, BORDEAUX,270000
1294,2622,appartement,1920.0,2,38, BORDEAUX,232200
1295,2623,appartement,1920.0,1,32, BORDEAUX,186800
1296,2625,appartement,1920.0,2,39, BORDEAUX,226800
1297,2626,maison,2001.0,5,135, LACANAU OCEAN                   ,580000
1298,2627,maison,2015.0,3,65, LEGE CAP FERRET,249000
1299,2629,appartement,19777.0,4,85, BORDEAUX,346000
1300,2631,maison,1960.0,4,78, AUDENGE,260000
1301,2640,maison,1870.0,7,280, LUDON MEDOC,659000
1302,2642,maison,1900.0,6,175, BORDEAUX,997000
1303,2643,maison,1947.0,6,99, ST SULPICE DE FALEYRENS,248000
1304,2645,maison,1996.0,4,99, ANDERNOS LES BAINS,324000
1305,2646,appartement,2018.0,2,54, BORDEAUX,265000
1306,2647,maison,1964.0,6,224, BORDEAUX,990000
1307,2648,maison,1985.0,6,190, BEYCHAC ET CAILLAU,439000
1308,2650,appartement,1992.0,2,42, BORDEAUX,88000
1309,2651,appartement,2021.0,2,41, BASSENS,165900
1310,2652,appartement,2021.0,3,61, BASSENS,218900
1311,2653,appartement,2021.0,3,59, BASSENS,209900
1312,2654,maison,2006.0,2,32, LE VERDON SUR MER,65500
1313,2655,appartement,2019.0,2,27, MERIGNAC,149800
1314,2661,maison,1900.0,9,180, ST EMILION,473000
1315,2662,maison,1890.0,4,77, BORDEAUX,460000
1316,2663,maison,2007.0,9,216, SOULAC SUR MER,548000
1317,2664,appartement,2020.0,2,40, VILLENAVE D ORNON,175000
1318,2665,appartement,1867.0,3,73, BORDEAUX,399900
1319,2666,maison,2005.0,14,988, ARVEYRES,1272000
1320,2668,maison,1930.0,5,115, ANDERNOS LES BAINS,2100000
1321,2671,appartement,2005.0,3,56, LE TEICH,160000
1322,2672,maison,1988.0,6,108, AMBARES ET LAGRAVE,360400
1323,2673,maison,2000.0,7,177, ST VIVIEN DE MEDOC,360000
1324,2674,appartement,1800.0,3,56, BORDEAUX,285000
1325,2675,appartement,2020.0,2,44, LE BOUSCAT,260000
1326,2677,appartement,1970.0,3,55, BORDEAUX,274900
1327,2693,maison,1986.0,5,60, ST SYMPHORIEN,145800
1328,2694,maison,2017.0,4,88, BORDEAUX,476000
1329,2700,maison,1892.0,8,195, BORDEAUX,1050000
1330,2706,appartement,1963.0,3,65, BORDEAUX,248500
1331,2708,maison,1970.0,6,125, NAUJAC SUR MER,196000
1332,2709,maison,1900.0,5,123, AYGUEMORTE LES GRAVES,281000
1333,2710,maison,1937.0,6,138, LE TAILLAN MEDOC,348000
1334,2711,maison,2012.0,4,83, AMBARES ET LAGRAVE,275000
1335,2712,maison,2018.0,4,84, LUGOS,264000
1336,2715,appartement,2014.0,3,64, TALENCE,275600
1337,2716,maison,1900.0,6,200, LIBOURNE,565000
1338,2720,appartement,1900.0,3,73, LA TESTE DE BUCH,275000
1339,2721,maison,1850.0,14,480, LANGON,682500
1340,2723,maison,1970.0,10,317, LESPARRE MEDOC,499000
1341,2724,maison,1900.0,7,132, ST SEURIN DE CADOURNE,98000
1342,2728,maison,2009.0,4,100, VENDAYS MONTALIVET,265000
1343,2729,maison,1900.0,5,158, VENDAYS MONTALIVET,358700
1344,2730,maison,1975.0,5,130, LES BILLAUX,238000
1345,2732,maison,1930.0,4,100, ARES,1250000
1346,2735,appartement,1900.0,4,106, BORDEAUX,810000
1347,2736,maison,2003.0,6,141, IZON,336000
1348,2737,maison,1930.0,7,161, BORDEAUX,779900
1349,2738,appartement,2006.0,3,41, LE VERDON SUR MER,95400
1350,2741,appartement,1930.0,3,78, ARCACHON,348000
1351,2742,maison,1995.0,4,112, MARCHEPRIME,373000
1352,2743,appartement,1900.0,3,50, BORDEAUX,250800
1353,2744,maison,1920.0,3,79, BORDEAUX,325500
1354,2745,maison,2013.0,7,175, LE BOUSCAT,939000
